Nd,Nmfe,Nw,absolute_frobenius_error,backend_mode,cache_status,dt,krylov_dimension,log_path,max_abs_entry_error,metadata_path,npz_path,plot,random_seed,ratio_nmfe_over_nw,reference_frobenius_norm,relative_frobenius_error,sipc,total_shots_per_correlation,uqk_mode
64,100,100,0.10665953255459232,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250643.log,0.06197863063021727,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250643_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250643_uqk_overlap_matrix.npz,plot2,250643,1.0,3.9980734989604616,0.026677731808163317,100,10000,stochastic
64,200,50,0.14009680682112252,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636.log,0.053833033025111734,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636_uqk_overlap_matrix.npz,plot2,250636,4.0,3.9980734989604616,0.03504107837375903,50,10000,stochastic
32,1000,10,0.16814021737916243,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628.log,0.06651340253872137,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628_uqk_overlap_matrix.npz,plot2,250628,100.0,3.9980734989604616,0.04205530924403479,10,10000,stochastic
32,1000,100,0.09895783677980541,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_100000_R_10p0_Nmfe_1000_Nw_100_seed_250663.log,0.04597257153626756,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_100000_R_10p0_Nmfe_1000_Nw_100_seed_250663_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_100000_R_10p0_Nmfe_1000_Nw_100_seed_250663_uqk_overlap_matrix.npz,plot2,250663,10.0,3.9980734989604616,0.024751380084817205,100,100000,stochastic
64,2000,50,0.07692356147618545,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_40p0_Nmfe_2000_Nw_50_seed_250657.log,0.03806135158167299,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_40p0_Nmfe_2000_Nw_50_seed_250657_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_40p0_Nmfe_2000_Nw_50_seed_250657_uqk_overlap_matrix.npz,plot2,250657,40.0,3.9980734989604616,0.01924015691462059,50,100000,stochastic
64,10000,10,0.23342646443068796,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_1000p0_Nmfe_10000_Nw_10_seed_250650.log,0.11437759505610091,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_1000p0_Nmfe_10000_Nw_10_seed_250650_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_100000_R_1000p0_Nmfe_10000_Nw_10_seed_250650_uqk_overlap_matrix.npz,plot2,250650,1000.0,3.9980734989604616,0.05838473567116291,10,100000,stochastic
