Nd,Nmfe,Nw,absolute_frobenius_error,backend_mode,cache_status,dt,krylov_dimension,log_path,max_abs_entry_error,metadata_path,npz_path,plot,random_seed,reference_frobenius_norm,relative_frobenius_error,sipc,uqk_mode
64,,5,0.06053256666067553,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_5_seed_240629.log,0.03313768677088988,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_5_seed_240629_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_5_seed_240629_uqk_overlap_matrix.npz,plot1,240629,3.9980734989604616,0.015140433680475008,5,exact_stochastic
64,,10,0.11990384916035005,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_10_seed_240636.log,0.04866821659297326,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_10_seed_240636_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_10_seed_240636_uqk_overlap_matrix.npz,plot1,240636,3.9980734989604616,0.02999040642737714,10,exact_stochastic
64,,20,0.0652712680816306,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_20_seed_240643.log,0.029466627190820823,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_20_seed_240643_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_20_seed_240643_uqk_overlap_matrix.npz,plot1,240643,3.9980734989604616,0.016325679880222755,20,exact_stochastic
64,,40,0.06570804545776111,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_40_seed_240650.log,0.02758174247719426,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_40_seed_240650_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_40_seed_240650_uqk_overlap_matrix.npz,plot1,240650,3.9980734989604616,0.016434926840350948,40,exact_stochastic
64,,80,0.046664888777585255,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_80_seed_240657.log,0.021911660866114527,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_80_seed_240657_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_80_seed_240657_uqk_overlap_matrix.npz,plot1,240657,3.9980734989604616,0.011671843649127158,80,exact_stochastic
64,,160,0.03511036231716926,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_160_seed_240664.log,0.01637986012766771,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_160_seed_240664_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot1_exact_stochastic/diatomic_h2_sto_3g_plot1_exact_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_sipc_160_seed_240664_uqk_overlap_matrix.npz,plot1,240664,3.9980734989604616,0.008781820125692612,160,exact_stochastic
